Date,Country,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-03-29,Afghanistan,-0.38,-0.21,-0.13,-0.34,-0.33,0.1
2020-03-29,Angola,-0.61,-0.4,-0.39,-0.57,-0.11,0.22
2020-03-29,Antigua and Barbuda,-0.46,-0.21,-0.3,-0.67,-0.48,0.17
2020-03-29,Argentina,-0.86,-0.61,-0.89,-0.8,-0.57,0.27
2020-03-29,Aruba,-0.88,-0.66,-0.8,-0.88,-0.72,0.2
2020-03-29,Australia,-0.45,-0.19,-0.35,-0.58,-0.33,0.13
2020-03-29,Austria,-0.87,-0.64,-0.43,-0.71,-0.51,0.14
2020-03-29,Bahrain,-0.45,-0.22,-0.4,-0.38,-0.25,0.16
2020-03-29,Bangladesh,-0.68,-0.46,-0.26,-0.66,-0.6,0.24
2020-03-29,Barbados,-0.7,-0.47,-0.6,-0.77,-0.52,0.15
2020-03-29,Belarus,-0.14,0.05,0.41,-0.07,0.03,-0.02
2020-03-29,Belgium,-0.84,-0.53,-0.66,-0.76,-0.52,0.17
2020-03-29,Belize,-0.63,-0.49,-0.38,-0.68,-0.42,0.13
2020-03-29,Benin,-0.16,0,0.1,-0.14,0.02,0.05
2020-03-29,Bolivia,-0.93,-0.94,-0.89,-0.92,-0.72,0.35
2020-03-29,Bosnia and Herzegovina,-0.76,-0.5,-0.22,-0.59,-0.5,0.13
2020-03-29,Botswana,-0.12,-0.02,0.07,-0.2,-0.03,0.13
2020-03-29,Brazil,-0.71,-0.35,-0.7,-0.62,-0.34,0.17
2020-03-29,Bulgaria,-0.66,-0.36,-0.32,-0.58,-0.29,0.11
2020-03-29,Burkina Faso,-0.34,-0.25,-0.22,-0.53,-0.03,0.15
2020-03-29,Cambodia,-0.43,-0.29,-0.31,-0.57,-0.15,0.12
2020-03-29,Cameroon,-0.26,-0.2,-0.19,-0.23,-0.03,0.09
2020-03-29,Canada,-0.59,-0.35,-0.16,-0.66,-0.44,0.14
2020-03-29,Cape Verde,-0.6,-0.48,-0.57,-0.88,-0.4,0.19
2020-03-29,Chile,-0.73,-0.55,-0.72,-0.64,-0.42,0.24
2020-03-29,Colombia,-0.86,-0.68,-0.8,-0.82,-0.58,0.26
2020-03-29,Costa Rica,-0.68,-0.41,-0.71,-0.68,-0.39,0.21
2020-03-29,Côte d'Ivoire,-0.35,-0.21,-0.21,-0.33,-0.09,0.14
2020-03-29,Croatia,-0.82,-0.57,-0.45,-0.74,-0.5,0.15
2020-03-29,Czechia,-0.73,-0.26,-0.24,-0.61,-0.31,0.11
2020-03-29,Denmark,-0.37,-0.22,0.35,-0.6,-0.28,0.09
2020-03-29,Dominican Republic,-0.8,-0.63,-0.73,-0.84,-0.56,0.23
2020-03-29,Ecuador,-0.84,-0.66,-0.8,-0.8,-0.61,0.26
2020-03-29,Egypt,-0.5,-0.24,-0.4,-0.52,-0.35,0.15
2020-03-29,El Salvador,-0.81,-0.62,-0.72,-0.73,-0.5,0.23
2020-03-29,Estonia,-0.6,-0.28,0.04,-0.51,-0.32,0.1
2020-03-29,Fiji,-0.39,-0.25,-0.13,-0.59,-0.06,0.12
2020-03-29,Finland,-0.52,-0.21,0.48,-0.59,-0.25,0.09
2020-03-29,France,-0.88,-0.72,-0.82,-0.87,-0.56,0.18
2020-03-29,Gabon,-0.39,-0.24,-0.25,-0.47,-0.15,0.15
2020-03-29,Georgia,-0.67,-0.36,-0.24,-0.53,-0.38,0.12
2020-03-29,Germany,-0.77,-0.51,-0.49,-0.68,-0.39,0.11
2020-03-29,Ghana,-0.15,0.08,-0.15,-0.15,0.03,0.09
2020-03-29,Greece,-0.8,-0.41,-0.55,-0.76,-0.53,0.2
2020-03-29,Guatemala,-0.67,-0.39,-0.53,-0.69,-0.39,0.19
2020-03-29,Guinea-Bissau,-0.5,-0.11,-0.25,NA,-0.27,NA
2020-03-29,Haiti,-0.34,-0.31,-0.19,-0.48,-0.14,0.07
2020-03-29,Honduras,-0.81,-0.64,-0.59,-0.74,-0.46,0.2
2020-03-29,Hong Kong,-0.35,-0.07,-0.43,-0.45,-0.24,0.16
