Date,State,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-03-29,Alabama,-0.41,-0.13,0.19,-0.3,-0.32,0.09
2020-03-29,Alaska,-0.48,-0.27,0.18,-0.55,-0.33,0.1
2020-03-29,Arizona,-0.4,-0.17,-0.07,-0.41,-0.33,0.1
2020-03-29,Arkansas,-0.29,-0.07,0.81,-0.22,-0.27,0.07
2020-03-29,California,-0.5,-0.24,-0.38,-0.54,-0.39,0.15
2020-03-29,Colorado,-0.51,-0.27,-0.12,-0.6,-0.4,0.13
2020-03-29,Connecticut,-0.56,-0.32,-0.52,-0.64,-0.38,0.15
2020-03-29,Delaware,-0.47,-0.28,-0.06,-0.57,-0.37,0.12
2020-03-29,District of Columbia,-0.64,-0.3,-0.41,-0.68,-0.47,0.14
2020-03-29,Florida,-0.5,-0.26,-0.48,-0.63,-0.41,0.13
2020-03-29,Georgia,-0.42,-0.17,-0.02,-0.52,-0.37,0.11
2020-03-29,Hawaii,-0.56,-0.36,-0.65,-0.72,-0.45,0.16
2020-03-29,Idaho,-0.42,-0.18,0.25,-0.34,-0.38,0.1
2020-03-29,Illinois,-0.53,-0.24,-0.29,-0.55,-0.39,0.13
2020-03-29,Indiana,-0.48,-0.25,0.24,-0.34,-0.36,0.11
2020-03-29,Iowa,-0.43,-0.1,0.41,-0.28,-0.29,0.1
2020-03-29,Kansas,-0.36,-0.14,0.72,-0.2,-0.3,0.09
2020-03-29,Kentucky,-0.37,-0.11,0.68,-0.34,-0.34,0.09
2020-03-29,Louisiana,-0.45,-0.16,-0.18,-0.49,-0.35,0.11
2020-03-29,Maine,-0.5,-0.22,-0.24,-0.56,-0.31,0.1
2020-03-29,Maryland,-0.45,-0.25,0.29,-0.51,-0.39,0.13
2020-03-29,Massachusetts,-0.59,-0.36,-0.56,-0.73,-0.42,0.16
2020-03-29,Michigan,-0.58,-0.28,0.15,-0.55,-0.43,0.12
2020-03-29,Minnesota,-0.58,-0.35,-0.16,-0.64,-0.38,0.14
2020-03-29,Mississippi,-0.32,-0.07,0.27,-0.29,-0.3,0.09
2020-03-29,Missouri,-0.38,-0.12,0.73,-0.34,-0.32,0.09
2020-03-29,Montana,-0.51,-0.25,0.28,-0.37,-0.37,0.1
2020-03-29,Nebraska,-0.34,-0.09,1.09,-0.18,-0.24,0.08
2020-03-29,Nevada,-0.47,-0.23,-0.38,-0.62,-0.52,0.14
2020-03-29,New Hampshire,-0.58,-0.35,-0.63,-0.63,-0.38,0.13
2020-03-29,New Jersey,-0.59,-0.33,-0.36,-0.7,-0.44,0.16
2020-03-29,New Mexico,-0.44,-0.18,-0.12,-0.31,-0.34,0.11
2020-03-29,New York,-0.62,-0.32,-0.47,-0.68,-0.46,0.16
2020-03-29,North Carolina,-0.4,-0.15,0.13,-0.51,-0.35,0.1
2020-03-29,North Dakota,-0.44,-0.13,0.73,-0.36,-0.24,0.09
2020-03-29,Ohio,-0.43,-0.19,1.17,-0.33,-0.35,0.1
2020-03-29,Oklahoma,-0.36,-0.12,0.29,-0.23,-0.32,0.09
2020-03-29,Oregon,-0.51,-0.25,-0.22,-0.47,-0.38,0.12
2020-03-29,Pennsylvania,-0.5,-0.27,0.07,-0.52,-0.38,0.12
2020-03-29,Rhode Island,-0.55,-0.3,-0.5,-0.67,-0.37,0.14
2020-03-29,South Carolina,-0.38,-0.11,-0.04,-0.34,-0.34,0.09
2020-03-29,South Dakota,-0.35,-0.03,1.26,-0.31,-0.25,0.08
2020-03-29,Tennessee,-0.35,-0.09,0.35,-0.35,-0.34,0.08
2020-03-29,Texas,-0.45,-0.23,-0.27,-0.47,-0.36,0.13
2020-03-29,Utah,-0.41,-0.14,0.26,-0.44,-0.4,0.1
2020-03-29,Vermont,-0.62,-0.42,-0.55,-0.71,-0.43,0.13
2020-03-29,Virginia,-0.39,-0.16,0.46,-0.5,-0.36,0.11
2020-03-29,Washington,-0.48,-0.26,-0.11,-0.56,-0.41,0.13
2020-03-29,West Virginia,-0.38,-0.16,0.52,-0.31,-0.33,0.08
2020-03-29,Wisconsin,-0.55,-0.3,-0.12,-0.5,-0.34,0.13
2020-03-29,Wyoming,-0.37,-0.13,0.29,-0.14,-0.29,0.08
